x,y
-0.8537512920010598,-0.0013596416473676991
-0.8537511143767418,-0.016296317634575123
-0.8537508978707267,-0.0312429652039274
-0.8537506610835689,-0.04620875469937838
-0.8537504960062853,-0.06120291002442248
-0.8537502667186109,-0.07623471099586286
-0.8537500797751123,-0.09131354673513668
-0.8537498611714682,-0.1064489079822127
-0.853749644584693,-0.12165043643294787
-0.853749442250445,-0.13692793861983377
-0.8537492332353909,-0.1522914078288106
-0.8537490087058267,-0.16775105695282894
-0.8537487561915339,-0.18331734433834168
-0.8537485582345952,-0.1990010259479746
-0.8537483395899912,-0.2148131315986013
-0.8537481364194882,-0.23076505593210767
-0.8537478979023976,-0.24686854621488416
-0.853747689571858,-0.2631357937755408
-0.8537474343785478,-0.2795793997613403
-0.8537472223330147,-0.29621251101587154
-0.8537469905222401,-0.31304876429806733
-0.8537467115629994,-0.33010239276028513
-0.8537465160369662,-0.347388331659986
-0.8537462570867526,-0.36492210507645567
-0.8537460139874015,-0.3827200845228359
-0.8537457589387252,-0.40079942263293866
-0.8537455151533366,-0.41917819200710144
-0.8537452361128957,-0.43787540778442186
-0.8537449997380034,-0.4569112101816847
-0.8537447161564419,-0.4763068098616784
-0.8537444107454267,-0.49608473690246985
-0.8537441249130069,-0.5162689078494613
-0.8537439133965521,-0.5368847514168086
-0.8537435312340207,-0.5579591440669481
-0.8537432644068339,-0.5795210892127222
-0.853742984208652,-0.6016012874292294
-0.8537426960287073,-0.6242326725306241
-0.8537423673858648,-0.6474505076884972
-0.8537420307245019,-0.6712926941476934
-0.8537416719029005,-0.6957999498837267
-0.8537412858777482,-0.7210161416749387
-0.8537409009320751,-0.7469886349256508
-0.8537405701387076,-0.7737686594110904
-0.8537401550037145,-0.8014115258733697
-0.853739775064897,-0.8299775013591968
-0.8537394132232139,-0.8595319875370503
-0.8537389218142475,-0.8901461094168192
-0.853738539088371,-0.9218979389307271
-0.8537380906958716,-0.9548724637275662
-0.8537376058045556,-0.9891631273457451
-0.8537370900086716,-1.0248726387195721
-0.8537365960396088,-1.0621142591741437
-0.853736022160907,-1.1010129483235576
-0.8537354431115748,-1.1417073938691409
-0.8537348893995945,-1.1843516427586374
-0.8537342404559454,-1.2291171605586442
-0.8537335777262473,-1.2761959371050127
-0.8537329029154135,-1.3258032030754048
-0.8537321537178604,-1.3781811185436443
-0.8537313993827528,-1.4336034858290692
-0.8537306209408897,-1.4923807029736589
-0.853729741283975,-1.554866190408846
-0.8537287838809738,-1.6214644564534542
-0.8537278045343821,-1.6926405369270054
-0.8537267471531366,-1.7689314748253735
-0.8537256308920791,-1.8509612955389043
-0.8537244091929231,-1.9394590416237416
-0.8537230615954567,-2.035282117368769
-0.8537215904442084,-2.139445855528847
-0.8537200652456339,-2.2531617773926453
-0.8537183152562613,-2.3778865260771593
-0.8537164029404837,-2.5153887740848435
-0.8537142870530106,-2.6678363100839717
-0.853688878449009,-2.8378392273772683
